thickness,trimmed mean,error_on_trimmed_mean
0.02,15.672171870185888,0.11779552781943409
0.04,31.14716483544826,0.18828985272069906
0.06,49.0164813394683,0.3108122071335601
0.08,61.86997819993771,0.28244748239997874
0.1,81.69001784803672,0.48907653425847214
0.12000000000000001,98.69739121573423,0.5766496281740998
0.13999999999999999,113.90042785406845,0.5596179698362785
0.16,129.48684951854128,0.5998484980381158
0.18,145.08300871348027,0.6542144302772649
0.19999999999999998,163.89968030690537,0.7836198260222718
0.22,176.53928277423338,0.7031510168384184
0.24,192.3878565586341,0.7700684305527629
0.26,209.740045040434,0.8166287874786683
0.28,230.37964285714287,1.1051121460539666
0.30000000000000004,242.86273604269294,0.9671903033221869
0.32,263.38200244448973,1.2165401019911608
0.34,276.5205437448896,1.1729834270893
0.36000000000000004,290.17708653353816,1.0000725638527905
0.38,308.72071910801964,1.174657863246922
0.4,322.08364921626884,1.0523066741438714
0.42000000000000004,343.5093302658487,1.3792411873797457
0.44,354.1523061975864,1.2110980417529948
0.46,367.8038311821348,1.1257866036039974
0.48000000000000004,386.0431599426582,1.2714213370985723
0.5,403.8864312839988,1.305969795622533
0.52,420.3393003693065,1.4480554399647105
0.54,439.60100389264494,1.566499154450907
0.56,449.2923472008218,1.3645874798115787
0.5800000000000001,467.46288119930176,1.393921305771441
0.6,484.37088672475653,1.5061791715978199
0.62,501.93330948487323,1.6948779581627471
0.64,515.3461736004109,1.4578835133928032
0.66,528.8542480970993,1.4955224945026477
0.68,550.1286971650803,1.6498593853960681
0.7000000000000001,562.4171103829613,1.604117524478404
0.7200000000000001,579.7103884093711,1.6411471304315315
0.74,602.7461153138418,2.143342377180344
0.76,614.2813012295082,1.879945420093405
0.78,628.3794039328144,1.8050163513595754
0.8,645.5012824458807,1.8898317213102036
0.8200000000000001,659.4566536404772,1.8387918154487264
0.8400000000000001,677.9989218605606,1.808288877002511
0.86,692.6009763617677,1.8586824173800158
0.88,709.9110609017151,1.9664147495190047
0.9,726.8446063840706,1.9384829640631693
0.92,745.4850662013754,2.1453835781058945
0.9400000000000001,756.5842072794571,2.005493527220266
0.9600000000000001,772.4099159146841,1.923576867591646
0.98,792.8855619360131,2.2853008540115747
1.0,803.19573245794,1.9993465348304724
